"Seade","Mõõtmise aeg","veetase","vooluhulk","voolukiirus","Laekumise aeg"
"Muuli tee","29.02.2024 02:25","0.05 m","151.76 m³/h","","29.02.2024 02:27"
"Muuli tee","29.02.2024 02:20","0.05 m","153.13 m³/h","","29.02.2024 02:22"
"Muuli tee","29.02.2024 02:15","0.05 m","154.23 m³/h","","29.02.2024 02:17"
"Muuli tee","29.02.2024 02:10","0.05 m","149.42 m³/h","","29.02.2024 02:12"
"Muuli tee","29.02.2024 02:05","0.05 m","155.33 m³/h","","29.02.2024 02:07"
"Muuli tee","29.02.2024 02:00","0.05 m","151.76 m³/h","","29.02.2024 02:02"
"Muuli tee","29.02.2024 01:55","0.05 m","148.32 m³/h","","29.02.2024 01:57"
"Muuli tee","29.02.2024 01:50","0.05 m","154.09 m³/h","","29.02.2024 01:52"
"Muuli tee","29.02.2024 01:45","0.05 m","153.96 m³/h","","29.02.2024 01:47"
"Muuli tee","29.02.2024 01:40","0.05 m","156.16 m³/h","","29.02.2024 01:42"
"Muuli tee","29.02.2024 01:35","0.05 m","154.09 m³/h","","29.02.2024 01:37"
"Muuli tee","29.02.2024 01:30","0.05 m","156.57 m³/h","","29.02.2024 01:32"
"Muuli tee","29.02.2024 01:25","0.05 m","156.57 m³/h","","29.02.2024 01:27"
"Muuli tee","29.02.2024 01:20","0.05 m","156.57 m³/h","","29.02.2024 01:27"
"Muuli tee","29.02.2024 01:15","0.05 m","151.62 m³/h","","29.02.2024 01:17"
"Muuli tee","29.02.2024 01:10","0.05 m","153.96 m³/h","","29.02.2024 01:12"
"Muuli tee","29.02.2024 01:05","0.05 m","160.14 m³/h","","29.02.2024 01:07"
"Muuli tee","29.02.2024 01:00","0.05 m","144.61 m³/h","","29.02.2024 01:02"
"Muuli tee","29.02.2024 00:55","0.06 m","159.04 m³/h","","29.02.2024 00:57"
"Muuli tee","29.02.2024 00:50","0.06 m","155.33 m³/h","","29.02.2024 00:52"
"Muuli tee","29.02.2024 00:45","0.05 m","149.29 m³/h","","29.02.2024 00:47"
"Muuli tee","29.02.2024 00:40","0.06 m","149.01 m³/h","","29.02.2024 00:42"
"Muuli tee","29.02.2024 00:35","0.06 m","148.19 m³/h","","29.02.2024 00:37"
"Muuli tee","29.02.2024 00:30","0.06 m","151.62 m³/h","","29.02.2024 00:32"
"Muuli tee","29.02.2024 00:25","0.06 m","160.14 m³/h","","29.02.2024 00:27"
"Muuli tee","29.02.2024 00:20","0.06 m","156.43 m³/h","","29.02.2024 00:22"
"Muuli tee","29.02.2024 00:15","0.06 m","162.61 m³/h","","29.02.2024 00:22"
"Muuli tee","29.02.2024 00:10","0.06 m","148.19 m³/h","","29.02.2024 00:12"
"Muuli tee","29.02.2024 00:05","0.06 m","164.95 m³/h","","29.02.2024 00:07"
