"Seade","Mõõtmise aeg","veetase","vooluhulk","voolukiirus","Laekumise aeg"
"Muuli tee","30.11.2023 06:10","0.04 m","96.52 m³/h","","30.11.2023 06:12"
"Muuli tee","30.11.2023 06:05","0.04 m","89.38 m³/h","","30.11.2023 06:12"
"Muuli tee","30.11.2023 06:00","0.04 m","94.05 m³/h","","30.11.2023 06:02"
"Muuli tee","30.11.2023 05:55","0.04 m","95.42 m³/h","","30.11.2023 06:02"
"Muuli tee","30.11.2023 05:50","0.04 m","92.81 m³/h","","30.11.2023 05:52"
"Muuli tee","30.11.2023 05:45","0.04 m","91.44 m³/h","","30.11.2023 05:47"
"Muuli tee","30.11.2023 05:40","0.04 m","87.04 m³/h","","30.11.2023 05:42"
"Muuli tee","30.11.2023 05:35","0.04 m","91.71 m³/h","","30.11.2023 05:37"
"Muuli tee","30.11.2023 05:30","0.04 m","91.58 m³/h","","30.11.2023 05:32"
"Muuli tee","30.11.2023 05:25","0.04 m","89.24 m³/h","","30.11.2023 05:27"
"Muuli tee","30.11.2023 05:20","0.04 m","88.97 m³/h","","30.11.2023 05:22"
"Muuli tee","30.11.2023 05:15","0.04 m","82.1 m³/h","","30.11.2023 05:17"
"Muuli tee","30.11.2023 05:10","0.04 m","90.75 m³/h","","30.11.2023 05:12"
"Muuli tee","30.11.2023 05:05","0.04 m","90.62 m³/h","","30.11.2023 05:07"
"Muuli tee","30.11.2023 05:00","0.04 m","89.24 m³/h","","30.11.2023 05:02"
"Muuli tee","30.11.2023 04:55","0.04 m","89.38 m³/h","","30.11.2023 04:57"
"Muuli tee","30.11.2023 04:50","0.04 m","89.52 m³/h","","30.11.2023 04:52"
"Muuli tee","30.11.2023 04:45","0.04 m","90.75 m³/h","","30.11.2023 04:47"
"Muuli tee","30.11.2023 04:40","0.04 m","90.75 m³/h","","30.11.2023 04:42"
"Muuli tee","30.11.2023 04:35","0.04 m","90.34 m³/h","","30.11.2023 04:37"
"Muuli tee","30.11.2023 04:30","0.04 m","89.52 m³/h","","30.11.2023 04:32"
"Muuli tee","30.11.2023 04:25","0.04 m","90.62 m³/h","","30.11.2023 04:27"
"Muuli tee","30.11.2023 04:20","0.04 m","90.75 m³/h","","30.11.2023 04:22"
"Muuli tee","30.11.2023 04:15","0.04 m","89.52 m³/h","","30.11.2023 04:17"
"Muuli tee","30.11.2023 04:10","0.04 m","89.52 m³/h","","30.11.2023 04:12"
"Muuli tee","30.11.2023 04:05","0.04 m","90.75 m³/h","","30.11.2023 04:07"
"Muuli tee","30.11.2023 04:00","0.04 m","89.52 m³/h","","30.11.2023 04:02"
"Muuli tee","30.11.2023 03:55","0.04 m","88.28 m³/h","","30.11.2023 03:57"
"Muuli tee","30.11.2023 03:50","0.04 m","89.38 m³/h","","30.11.2023 03:52"
"Muuli tee","30.11.2023 03:45","0.04 m","91.85 m³/h","","30.11.2023 03:47"
"Muuli tee","30.11.2023 03:40","0.04 m","91.85 m³/h","","30.11.2023 03:42"
"Muuli tee","30.11.2023 03:35","0.04 m","90.75 m³/h","","30.11.2023 03:37"
"Muuli tee","30.11.2023 03:30","0.04 m","90.34 m³/h","","30.11.2023 03:32"
"Muuli tee","30.11.2023 03:25","0.04 m","91.99 m³/h","","30.11.2023 03:27"
"Muuli tee","30.11.2023 03:20","0.04 m","90.75 m³/h","","30.11.2023 03:22"
"Muuli tee","30.11.2023 03:15","0.04 m","90.62 m³/h","","30.11.2023 03:17"
"Muuli tee","30.11.2023 03:10","0.04 m","90.62 m³/h","","30.11.2023 03:12"
"Muuli tee","30.11.2023 03:05","0.04 m","89.38 m³/h","","30.11.2023 03:07"
"Muuli tee","30.11.2023 03:00","0.04 m","91.71 m³/h","","30.11.2023 03:02"
"Muuli tee","30.11.2023 02:55","0.04 m","91.85 m³/h","","30.11.2023 02:57"
"Muuli tee","30.11.2023 02:50","0.04 m","93.09 m³/h","","30.11.2023 02:52"
"Muuli tee","30.11.2023 02:45","0.04 m","90.48 m³/h","","30.11.2023 02:47"
"Muuli tee","30.11.2023 02:40","0.04 m","91.85 m³/h","","30.11.2023 02:42"
"Muuli tee","30.11.2023 02:35","0.04 m","89.52 m³/h","","30.11.2023 02:37"
"Muuli tee","30.11.2023 02:30","0.04 m","90.48 m³/h","","30.11.2023 02:32"
"Muuli tee","30.11.2023 02:25","0.04 m","93.09 m³/h","","30.11.2023 02:27"
"Muuli tee","30.11.2023 02:20","0.04 m","88.28 m³/h","","30.11.2023 02:22"
"Muuli tee","30.11.2023 02:15","0.04 m","90.62 m³/h","","30.11.2023 02:17"
"Muuli tee","30.11.2023 02:10","0.04 m","94.33 m³/h","","30.11.2023 02:12"
"Muuli tee","30.11.2023 02:05","0.04 m","91.85 m³/h","","30.11.2023 02:07"
"Muuli tee","30.11.2023 02:00","0.04 m","95.15 m³/h","","30.11.2023 02:02"
"Muuli tee","30.11.2023 01:55","0.04 m","86.91 m³/h","","30.11.2023 01:57"
"Muuli tee","30.11.2023 01:50","0.04 m","92.81 m³/h","","30.11.2023 01:52"
"Muuli tee","30.11.2023 01:45","0.04 m","88.14 m³/h","","30.11.2023 01:47"
"Muuli tee","30.11.2023 01:40","0.04 m","92.81 m³/h","","30.11.2023 01:42"
"Muuli tee","30.11.2023 01:35","0.04 m","90.62 m³/h","","30.11.2023 01:37"
"Muuli tee","30.11.2023 01:30","0.04 m","92.95 m³/h","","30.11.2023 01:32"
"Muuli tee","30.11.2023 01:25","0.04 m","94.19 m³/h","","30.11.2023 01:27"
